kind,alpha,frequency_MHz,area_m2,dipoles_per_tile,before_n,after_n,before_rate_as_printed,after_rate_per_year,ratio_after_removing_normalization
dish,-1.0,400.0,0.1,,1594,1593,192.31927034599954,93080.8093501923,0.9993726474278544
dish,-1.0,400.0,0.2,,1592,1591,192.07796636815007,92963.94706601126,0.9993718592964824
dish,-1.0,400.0,0.30000000000000004,,1589,1588,191.71601040137594,92788.65363973971,0.9993706733794839
dish,-1.0,400.0,0.4,,1585,1584,191.2334024456771,92554.92907137764,0.9993690851735013
dish,-1.0,400.0,0.5,,1582,1581,190.8714464789029,92379.6356451061,0.9993678887484198
dish,-1.0,400.0,0.6,,1578,1577,190.38883852320404,92145.91107674404,0.9993662864385299
dish,-1.0,400.0,0.7000000000000001,,1574,1574,189.9062305675052,91970.61765047249,0.9999999999999999
dish,-1.0,400.0,0.8,,1570,1570,189.4236226118063,91736.89308211043,1.0
dish,-1.0,400.0,0.9,,1566,1566,188.94101465610746,91503.16851374834,0.9999999999999998
dish,-1.0,400.0,1.0,,1562,1562,188.4584067004086,91269.44394538629,0.9999999999999998
dish,-1.0,400.0,1.1,,1558,1557,187.9757987447097,90977.2882349337,0.9993581514762515
dish,-1.0,400.0,1.2000000000000002,,1554,1553,187.49319078901084,90743.56366657164,0.9993564993564993
dish,-1.0,400.0,1.3000000000000003,,1550,1549,187.01058283331196,90509.83909820957,0.9993548387096773
dish,-1.0,400.0,1.4000000000000001,,1545,1544,186.40732288868838,90217.683387757,0.9993527508090615
dish,-1.0,400.0,1.5000000000000002,,1541,1540,185.9247149329895,89983.95881939495,0.9993510707332902
dish,-1.0,400.0,1.6,,1536,1535,185.32145498836593,89691.80310894235,0.9993489583333331
dish,-1.0,400.0,1.7000000000000002,,1532,1531,184.83884703266705,89458.07854058029,0.9993472584856395
dish,-1.0,400.0,1.8000000000000003,,1527,1526,184.23558708804345,89165.9228301277,0.9993451211525867
dish,-1.0,400.0,1.9000000000000001,,1523,1522,183.7529791323446,88932.19826176565,0.9993434011818778
dish,-1.0,400.0,2.0,,1518,1517,183.14971918772102,88640.04255131306,0.9993412384716731
dish,-1.0,400.0,2.1,,1513,1512,182.54645924309742,88347.88684086048,0.9993390614672834
dish,-1.0,400.0,2.2,,1509,1508,182.06385128739856,88114.16227249842,0.9993373094764744
dish,-1.0,400.0,2.3000000000000003,,1504,1503,181.460591342775,87822.00656204583,0.9993351063829785
dish,-1.0,400.0,2.4000000000000004,,1499,1498,180.85733139815136,87529.85085159325,0.9993328885923949
dish,-1.0,400.0,2.5000000000000004,,1494,1494,180.2540714535278,87296.12628323119,0.9999999999999998
dish,-1.0,400.0,2.6,,1490,1489,179.77146349782893,87003.9705727786,0.9993288590604026
dish,-1.0,400.0,2.7,,1485,1484,179.16820355320533,86711.81486232602,0.9993265993265993
dish,-1.0,400.0,2.8000000000000003,,1480,1479,178.56494360858176,86419.65915187343,0.999324324324324
dish,-1.0,400.0,2.9000000000000004,,1475,1474,177.96168366395815,86127.50344142086,0.9993220338983051
dish,-1.0,400.0,3.0000000000000004,,1470,1469,177.35842371933458,85835.3477309683,0.9993197278911565
dish,-1.0,400.0,3.1,,1465,1465,176.75516377471098,85601.62316260622,1.0
dish,-1.0,400.0,3.2,,1461,1460,176.27255581901213,85309.46745215364,0.9993155373032168
dish,-1.0,400.0,3.3000000000000003,,1456,1455,175.66929587438852,85017.31174170107,0.9993131868131869
dish,-1.0,400.0,3.4000000000000004,,1451,1450,175.06603592976495,84725.15603124847,0.9993108201240521
dish,-1.0,400.0,3.5000000000000004,,1446,1445,174.46277598514135,84433.00032079588,0.9993084370677728
dish,-1.0,400.0,3.6,,1441,1440,173.85951604051775,84140.84461034332,0.9993060374739766
dish,-1.0,400.0,3.7,,1436,1435,173.2562560958942,83848.68889989074,0.9993036211699163
dish,-1.0,400.0,3.8000000000000003,,1431,1431,172.65299615127057,83614.96433152867,1.0
dish,-1.0,400.0,3.9000000000000004,,1427,1426,172.17038819557172,83322.8086210761,0.9992992291520673
dish,-1.0,400.0,4.0,,1422,1421,171.56712825094814,83030.65291062351,0.9992967651195498
dish,-1.0,400.0,4.1,,1417,1416,170.96386830632454,82738.49720017092,0.9992942836979535
dish,-1.0,400.0,4.2,,1412,1411,170.36060836170097,82446.34148971834,0.9992917847025494
dish,-1.0,400.0,4.3,,1407,1406,169.7573484170774,82154.18577926575,0.999289267945984
dish,-1.0,400.0,4.3999999999999995,,1402,1401,169.1540884724538,81862.0300688132,0.9992867332382311
dish,-1.0,400.0,4.5,,1397,1396,168.55082852783022,81569.8743583606,0.9992841803865423
dish,-1.0,400.0,4.6,,1392,1392,167.94756858320662,81336.14978999854,1.0
dish,-1.0,400.0,4.7,,1388,1387,167.46496062750776,81043.99407954597,0.9992795389048991
dish,-1.0,400.0,4.8,,1383,1382,166.86170068288413,80751.83836909337,0.9992769342010124
dish,-1.0,400.0,4.9,,1378,1377,166.2584407382606,80459.68265864078,0.9992743105950651
dish,-1.0,400.0,5.0,,1373,1372,165.655180793637,80167.52694818821,0.9992716678805534
dish,-1.0,400.0,5.1,,1368,1367,165.0519208490134,79875.37123773564,0.9992690058479531
dish,-1.0,400.0,5.2,,1364,1363,164.56931289331453,79641.64666937356,0.9992668621700878
dish,-1.0,400.0,5.3,,1359,1358,163.96605294869096,79349.49095892099,0.9992641648270786
dish,-1.0,400.0,5.4,,1354,1353,163.36279300406736,79057.33524846841,0.9992614475627769
dish,-1.0,400.0,5.5,,1349,1348,162.75953305944378,78765.17953801581,0.9992587101556706
dish,-1.0,400.0,5.6,,1344,1344,162.15627311482018,78531.45496965376,0.9999999999999999
dish,-1.0,400.0,5.7,,1340,1339,161.67366515912133,78239.29925920119,0.9992537313432835
dish,-1.0,400.0,5.8,,1335,1334,161.07040521449773,77947.1435487486,0.999250936329588
dish,-1.0,400.0,5.9,,1330,1329,160.46714526987415,77654.98783829602,0.9992481203007516
dish,-1.0,400.0,6.0,,1325,1325,159.86388532525055,77421.26326993394,0.9999999999999998
dish,-1.0,400.0,6.1,,1321,1320,159.38127736955167,77129.10755948137,0.9992429977289932
dish,-1.0,400.0,6.2,,1316,1315,158.7780174249281,76836.95184902879,0.999240121580547
dish,-1.0,400.0,6.3,,1311,1311,158.1747574803045,76603.22728066672,0.9999999999999999
dish,-1.0,400.0,6.4,,1307,1306,157.69214952460564,76311.07157021415,0.9992348890589134
dish,-1.0,400.0,6.5,,1302,1301,157.08888957998207,76018.91585976156,0.9992319508448538
dish,-1.0,400.0,6.6,,1297,1297,156.48562963535846,75785.19129139949,0.9999999999999998
dish,-1.0,400.0,6.7,,1293,1292,156.00302167965958,75493.0355809469,0.9992266047950501
dish,-1.0,400.0,6.8,,1288,1287,155.399761735036,75200.87987049435,0.9992236024844721
dish,-1.0,400.0,6.9,,1284,1283,154.91715377933713,74967.15530213228,0.9992211838006231
dish,-1.0,400.0,7.0,,1279,1278,154.31389383471358,74674.99959167968,0.999218139171227
dish,-1.0,400.0,7.1,,1275,1274,153.8312858790147,74441.27502331762,0.9992156862745095
dish,-1.0,400.0,7.2,,1270,1269,153.2280259343911,74149.11931286505,0.9992125984251968
dish,-1.0,400.0,7.3,,1265,1265,152.62476598976752,73915.39474450299,1.0
dish,-1.0,400.0,7.4,,1261,1260,152.14215803406864,73623.23903405039,0.9992069785884217
dish,-1.0,400.0,7.5,,1256,1256,151.53889808944507,73389.51446568833,0.9999999999999998
dish,-1.0,400.0,7.6,,1252,1251,151.0562901337462,73097.35875523575,0.9992012779552714
dish,-1.0,400.0,7.7,,1248,1247,150.5736821780473,72863.63418687369,0.999198717948718
dish,-1.0,400.0,7.8,,1243,1242,149.9704222334237,72571.4784764211,0.999195494770716
dish,-1.0,400.0,7.9,,1239,1238,149.48781427772485,72337.75390805905,0.9991928974979822
dish,-1.0,400.0,8.0,,1234,1233,148.88455433310125,72045.59819760646,0.9991896272285252
dish,-1.0,400.0,8.1,,1230,1229,148.40194637740237,71811.8736292444,0.9991869918699188
dish,-1.0,400.0,8.2,,1225,1225,147.79868643277882,71578.14906088234,0.9999999999999999
dish,-1.0,400.0,8.3,,1221,1220,147.31607847707994,71285.99335042975,0.9991809991809991
dish,-1.0,400.0,8.4,,1217,1216,146.8334705213811,71052.2687820677,0.9991783073130648
dish,-1.0,400.0,8.5,,1212,1212,146.2302105767575,70818.54421370561,0.9999999999999998
dish,-1.0,400.0,8.6,,1208,1207,145.7476026210586,70526.38850325304,0.9991721854304635
dish,-1.0,400.0,8.7,,1204,1203,145.26499466535975,70292.66393489097,0.9991694352159466
dish,-1.0,400.0,8.8,,1200,1199,144.78238670966087,70058.93936652891,0.9991666666666665
dish,-1.0,400.0,8.9,,1195,1194,144.17912676503727,69766.78365607632,0.999163179916318
dish,-1.0,400.0,9.0,,1191,1190,143.69651880933841,69533.05908771427,0.9991603694374475
dish,-1.0,400.0,9.1,,1187,1186,143.21391085363956,69299.33451935221,0.9991575400168492
dish,-1.0,400.0,9.2,,1183,1182,142.73130289794068,69065.60995099014,0.9991546914623838
dish,-1.0,400.0,9.3,,1178,1178,142.1280429533171,68831.88538262807,0.9999999999999998
dish,-1.0,400.0,9.4,,1174,1173,141.64543499761822,68539.72967217548,0.9991482112436114
dish,-1.0,400.0,9.5,,1170,1169,141.16282704191934,68306.00510381343,0.9991452991452991
dish,-1.0,400.0,9.6,,1166,1165,140.68021908622046,68072.28053545137,0.9991423670668956
dish,-1.0,400.0,9.700000000000001,,1162,1161,140.1976111305216,67838.5559670893,0.9991394148020654
dish,-1.0,400.0,9.8,,1158,1157,139.71500317482275,67604.83139872723,0.9991364421416232
dish,-1.0,400.0,9.9,,1154,1153,139.23239521912387,67371.10683036517,0.9991334488734835
dish,-1.0,400.0,10.0,,1150,1149,138.749787263425,67137.38226200311,0.9991304347826089
dish,-1.0,400.0,10.1,,1146,1145,138.26717930772614,66903.65769364104,0.9991273996509599
dish,-1.0,400.0,10.200000000000001,,1142,1141,137.78457135202729,66669.93312527896,0.9991243432574426
dish,-1.0,400.0,10.3,,1138,1137,137.3019633963284,66436.2085569169,0.9991212653778556
dish,-1.0,400.0,10.4,,1134,1133,136.81935544062952,66202.48398855484,0.9991181657848324
dish,-1.0,400.0,10.5,,1130,1129,136.33674748493067,65968.75942019279,0.9991150442477875
dish,-1.0,400.0,10.6,,1126,1125,135.85413952923182,65735.0348518307,0.9991119005328593
dish,-1.0,400.0,10.700000000000001,,1122,1121,135.37153157353293,65501.31028346864,0.9991087344028518
dish,-1.0,400.0,10.8,,1118,1117,134.88892361783405,65267.58571510659,0.9991055456171735
dish,-1.0,400.0,10.9,,1114,1113,134.40631566213517,65033.86114674452,0.9991023339317774
dish,-1.0,400.0,11.0,,1110,1109,133.9237077064363,64800.13657838245,0.9990990990990991
dish,-1.0,400.0,11.1,,1106,1105,133.44109975073744,64566.41201002039,0.9990958408679926
dish,-1.0,400.0,11.200000000000001,,1102,1101,132.95849179503855,64332.68744165833,0.9990925589836661
dish,-1.0,400.0,11.3,,1098,1098,132.4758838393397,64157.39401538677,0.9999999999999999
dish,-1.0,400.0,11.4,,1095,1094,132.11392787256554,63923.66944702471,0.9990867579908675
dish,-1.0,400.0,11.5,,1091,1090,131.6313199168667,63689.94487866265,0.999083409715857
dish,-1.0,400.0,11.6,,1087,1086,131.14871196116783,63456.22031030059,0.9990800367985279
dish,-1.0,400.0,11.700000000000001,,1083,1082,130.66610400546892,63222.49574193852,0.9990766389658358
dish,-1.0,400.0,11.8,,1080,1079,130.3041480386948,63047.20231566697,0.999074074074074
dish,-1.0,400.0,11.9,,1076,1075,129.8215400829959,62813.477747304896,0.9990706319702601
dish,-1.0,400.0,12.0,,1072,1071,129.33893212729706,62579.75317894283,0.9990671641791041
dish,-1.0,400.0,12.1,,1068,1068,128.8563241715982,62404.45975267129,0.9999999999999998
dish,-1.0,400.0,12.200000000000001,,1065,1064,128.494368204824,62170.735184309226,0.9990610328638498
dish,-1.0,400.0,12.3,,1061,1060,128.01176024912516,61937.01061594717,0.9990574929311969
dish,-1.0,400.0,12.4,,1057,1057,127.52915229342629,61761.71718967561,0.9999999999999999
dish,-1.0,400.0,12.5,,1054,1053,127.16719632665213,61527.99262131355,0.9990512333965843
dish,-1.0,400.0,12.6,,1050,1049,126.68458837095326,61294.268052951484,0.999047619047619
dish,-1.0,400.0,12.700000000000001,,1047,1046,126.32263240417912,61118.97462667993,0.9990448901623684
dish,-1.0,400.0,12.8,,1043,1042,125.84002444848025,60885.25005831787,0.9990412272291466
