survey,frequency_MHz,upper_limit,before_central,before_lower_distance,before_upper_distance,before_lower_endpoint,before_upper_endpoint,after_central,after_lower_distance,after_upper_distance,after_lower_endpoint,after_upper_endpoint
Lorimer et al. (2007),1400,False,3902.0670003217524,0.0,0.0,3902.0670003217524,3902.0670003217524,3902.0670003217524,0.0,0.0,3902.0670003217524,3902.0670003217524
Thornton et al. (2013),1405,False,51961.52422706632,25980.76211353316,83138.43876330611,25980.76211353316,135099.96299037244,51961.52422706632,25980.76211353316,31176.91453623979,25980.76211353316,83138.43876330611
Coenen et al. (2014),142,True,89019.02410372741,85000.0,0.0,4019.02410372741,89019.02410372741,89019.02410372741,44509.512051863705,0.0,44509.512051863705,89019.02410372741
Tingay et al. (2015),155,True,12964181.424216494,12900000.0,0.0,64181.424216493964,12964181.424216494,12964181.424216494,6482090.712108247,0.0,6482090.712108247,12964181.424216494
Rane et al. (2015),1410,False,40609.87860114827,15809.878601148273,82209.87860114827,24800.0,122819.75720229655,35200.0,24800.0,41600.0,10400.0,76800.0
Champion et al. (2016),1415,False,12859.821149611686,7348.469228349534,22045.4076850486,5511.351921262151,34905.22883466029,12859.821149611686,5511.351921262151,9185.586535436918,7348.469228349534,22045.4076850486
Crawford et al. (2016),1420,False,24444.96021678088,8148.320072260294,51852.94591438369,16296.640144520587,76297.90613116456,24444.96021678088,16296.640144520587,27407.985697602806,8148.320072260294,51852.94591438369
Caleb et al. (2017),843,False,2865.7852327067358,171.94711396240382,13583.822003029927,2693.838118744332,16449.607235736665,2865.7852327067358,2693.838118744332,10718.036770323191,171.94711396240382,13583.822003029927
Bhandari et al. (2018),1430,False,4808.326112068524,2262.7416997969526,9050.966799187809,2545.584412271571,13859.292911256332,4808.326112068524,2545.584412271571,4242.640687119286,2262.7416997969526,9050.966799187809
Shannon et al. (2018),1435,False,4905.256772076259,3844.66071324896,5965.852830903558,1060.5960588272992,10871.109602979817,4905.256772076259,1060.5960588272992,1060.5960588272992,3844.66071324896,5965.852830903558
Farah et al. (2019),843,False,2217.486865801013,1335.0176028802018,3552.5044686812153,882.4692629208114,5769.991334482229,2217.486865801013,882.4692629208114,1335.0176028802018,1335.0176028802018,3552.5044686812153
Masui et al. (2015),800,False,5000.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,5000.0,5000.0
Chawla et al. (2017),350,True,20238.317330005473,20000.0,0.0,238.3173300054732,20238.317330005473,20238.317330005473,10119.158665002737,0.0,10119.158665002737,20238.317330005473
